"Archive","SHA256","Package","Version","Architecture"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","nano","8.7.1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","net-tools","2.10.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","patch","2.8-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","unzip","6.0-10","arm"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","pcre2","10.47","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","libandroid-selinux","14.0.0.11-1","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","libandroid-support","29-1","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","libc++","29","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","libgmp","6.3.0-2","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","libiconv","1.18-1","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","ca-certificates","1:2025.12.02","all"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","zlib","1.3.1-1","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","openssl","1:3.6.1","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","coreutils","9.9","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","libbz2","1.0.8-8","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","bzip2","1.0.8-8","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","diffutils","3.12-2","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","gzip","1.14-1","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","ncurses","6.6.20260124+really6.5.20250830","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","less","692","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","liblzma","5.8.2","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","libmd","1.1.0-1","i686"
"bootstrap-i686.zip","f5bc0b025b9f3b420b5fcaeefc064f888f5f22a0d6fd7090f4aac0c33eb3555b","attr","2.5.2-1","i686"
